frame_idx,second,lampu,status_final,operator_status,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count
1,0,TERANG,OFF,TIDAK ADA,61.04,61.89,187,70.01,-8.13,27.15,0,0,0,0,0,0,0,OFF,0,0,0
30,1,GELAP,OFF,TIDAK ADA,61.05,62.2,185,70.18,-7.99,27.54,0,0,0,0,0,0,0,OFF,0,0,0
60,2,GELAP,OFF,TIDAK ADA,61.06,61.8,183,70.1,-8.29,27.19,0,0,0,0,0,0,0,OFF,0,0,0
90,3,GELAP,OFF,TIDAK ADA,61.06,62.33,187,70.17,-7.84,27.17,0,0,0,0,0,0,0,OFF,0,0,0
120,4,GELAP,OFF,TIDAK ADA,61.06,62.25,187,70.18,-7.93,27.1,0,0,0,0,0,0,0,OFF,0,0,0
150,5,GELAP,OFF,TIDAK ADA,61.06,62.08,187,70.32,-8.24,26.97,0,0,0,0,0,0,0,OFF,0,0,0
180,6,GELAP,OFF,TIDAK ADA,61.05,62.14,175,70.25,-8.11,27.26,0,0,0,0,0,0,0,OFF,0,0,0
210,7,GELAP,OFF,TIDAK ADA,61.05,62.48,188,70.24,-7.75,27.15,0,0,0,0,0,0,0,OFF,0,0,0
240,8,GELAP,OFF,TIDAK ADA,61.17,62.23,178,70.37,-8.14,27.27,0,0,0,0,0,0,0,OFF,0,0,0
270,9,GELAP,OFF,TIDAK ADA,61.17,62.31,178,70.42,-8.11,27.21,0,0,0,0,0,0,0,OFF,0,0,0
300,10,GELAP,OFF,TIDAK ADA,61.17,62.27,178,70.33,-8.06,27.43,0,0,0,0,0,0,0,OFF,0,0,0
330,11,GELAP,OFF,TIDAK ADA,61.17,62.52,171,70.45,-7.93,27.11,0,0,0,0,0,0,0,OFF,0,0,0
360,12,GELAP,OFF,TIDAK ADA,61.17,62.59,171,70.37,-7.78,26.97,0,0,0,0,0,0,0,OFF,0,0,0
390,13,GELAP,OFF,TIDAK ADA,61.17,62.71,170,70.23,-7.51,26.86,0,0,0,0,0,0,0,OFF,0,0,0
420,14,GELAP,OFF,TIDAK ADA,61.17,62.32,178,70.31,-7.99,27.22,0,0,0,0,0,0,0,OFF,0,0,0
450,15,GELAP,OFF,TIDAK ADA,61.18,62.3,178,70.44,-8.13,27.29,0,0,0,0,0,0,0,OFF,0,0,0
480,16,GELAP,OFF,TIDAK ADA,61.17,62.48,171,70.31,-7.83,27,0,0,0,0,0,0,0,OFF,0,0,0
510,17,GELAP,OFF,TIDAK ADA,61.17,62.27,178,70.44,-8.17,27.41,0,0,0,0,0,0,0,OFF,0,0,0
540,18,GELAP,OFF,TIDAK ADA,61.22,62.31,172,70.34,-8.03,27.21,0,0,0,0,0,0,0,OFF,0,0,0
570,19,GELAP,OFF,TIDAK ADA,61.2,62.27,175,70.34,-8.07,27.51,0,0,0,0,0,0,0,OFF,0,0,0
600,20,GELAP,OFF,TIDAK ADA,61.18,62.21,175,70.32,-8.1,27.39,0,0,0,0,0,0,0,OFF,0,0,0
630,21,GELAP,OFF,TIDAK ADA,61.18,62.17,171,70.41,-8.24,27.32,0,0,0,0,0,0,0,OFF,0,0,0
660,22,GELAP,OFF,TIDAK ADA,61.24,62.33,168,70.41,-8.08,27.26,0,0,0,0,0,0,0,OFF,0,0,0
690,23,GELAP,OFF,TIDAK ADA,61.21,62.19,168,70.32,-8.13,27.26,0,0,0,0,0,0,0,OFF,0,0,0
720,24,GELAP,OFF,TIDAK ADA,61.17,62.22,168,70.36,-8.15,27.12,0,0,0,0,0,0,0,OFF,0,0,0
750,25,GELAP,OFF,TIDAK ADA,61.2,61.98,172,70.52,-8.54,27.29,0,0,0,0,0,0,0,OFF,0,0,0
780,26,GELAP,OFF,TIDAK ADA,61.2,62.26,172,70.3,-8.04,27.3,0,0,0,0,0,0,0,OFF,0,0,0
810,27,GELAP,OFF,TIDAK ADA,61.19,62.31,172,70.33,-8.01,27.35,0,0,0,0,0,0,0,OFF,0,0,0
840,28,GELAP,OFF,TIDAK ADA,60.98,62.36,172,70.22,-7.86,27.5,0,0,0,0,0,0,0,OFF,0,0,0
870,29,GELAP,OFF,TIDAK ADA,60.98,62.3,167,70.36,-8.06,27.31,0,0,0,0,0,0,0,OFF,0,0,0
900,30,GELAP,OFF,TIDAK ADA,60.98,62.49,172,70.37,-7.87,27.26,0,0,0,0,0,0,0,OFF,0,0,0
930,31,GELAP,OFF,TIDAK ADA,60.98,62.55,172,70.45,-7.9,27.27,0,0,0,0,0,0,0,OFF,0,0,0
960,32,GELAP,OFF,TIDAK ADA,60.98,62.47,172,70.47,-8,27.31,0,0,0,0,0,0,0,OFF,0,0,0
990,33,GELAP,OFF,TIDAK ADA,61,62.31,172,70.43,-8.12,27.57,0,0,0,0,0,0,0,OFF,0,0,0
1020,34,GELAP,OFF,TIDAK ADA,60.98,62.53,172,70.55,-8.02,27.31,0,0,0,0,0,0,0,OFF,0,0,0
1050,35,GELAP,OFF,TIDAK ADA,60.98,62.6,172,70.5,-7.9,27.52,0,0,0,0,0,0,0,OFF,0,0,0
1080,36,GELAP,OFF,TIDAK ADA,60.98,62.55,172,70.39,-7.83,27.18,0,0,0,0,0,0,0,OFF,0,0,0
1110,37,GELAP,OFF,TIDAK ADA,60.98,62.41,172,70.39,-7.97,27.39,0,0,0,0,0,0,0,OFF,0,0,0
1140,38,GELAP,OFF,TIDAK ADA,61.19,62.79,171,70.51,-7.72,26.95,0,0,0,0,0,0,0,OFF,0,0,0
1170,39,GELAP,OFF,TIDAK ADA,61.19,62.84,173,70.55,-7.72,27.44,0,0,0,0,0,0,0,OFF,0,0,0
1200,40,GELAP,OFF,TIDAK ADA,61.19,63,171,70.57,-7.57,26.96,0,0,0,0,0,0,0,OFF,0,0,0
1230,41,GELAP,OFF,TIDAK ADA,62.16,62.81,172,70.42,-7.61,27.24,0,0,0,0,0,0,0,OFF,0,0,0
1260,42,GELAP,OFF,TIDAK ADA,61.84,63.05,172,70.61,-7.56,27.39,0,0,0,0,0,0,0,OFF,0,0,0
1290,43,GELAP,OFF,TIDAK ADA,61.45,62.8,172,70.58,-7.78,27.17,0,0,0,0,0,0,0,OFF,0,0,0
1320,44,GELAP,OFF,TIDAK ADA,61.21,62.87,172,70.73,-7.86,27.11,0,0,0,0,0,0,0,OFF,0,0,0
1350,45,GELAP,OFF,TIDAK ADA,61.21,62.97,172,70.71,-7.74,27.19,0,0,0,0,0,0,0,OFF,0,0,0
1380,46,GELAP,OFF,TIDAK ADA,61.19,62.94,172,70.59,-7.65,27.09,0,0,0,0,0,0,0,OFF,0,0,0
1410,47,GELAP,OFF,TIDAK ADA,61.19,62.81,172,70.65,-7.84,27.07,0,0,0,0,0,0,0,OFF,0,0,0
1440,48,GELAP,OFF,TIDAK ADA,61.25,62.69,178,70.41,-7.72,27.66,0,0,0,0,0,0,0,OFF,0,0,0
1470,49,GELAP,OFF,TIDAK ADA,61.25,62.9,178,70.56,-7.66,27.27,0,0,0,0,0,0,0,OFF,0,0,0
1500,50,GELAP,OFF,TIDAK ADA,61.25,62.99,167,70.63,-7.64,27.45,0,0,0,0,0,0,0,OFF,0,0,0
1530,51,GELAP,OFF,TIDAK ADA,61.25,62.92,170,70.44,-7.52,27.56,0,0,0,0,0,0,0,OFF,0,0,0
1560,52,GELAP,OFF,TIDAK ADA,61.25,62.91,171,70.39,-7.48,27.53,0,0,0,0,0,0,0,OFF,0,0,0
1590,53,GELAP,OFF,TIDAK ADA,61.25,62.61,179,70.57,-7.96,27.68,0,0,0,0,0,0,0,OFF,0,0,0
1620,54,GELAP,OFF,TIDAK ADA,61.25,62.93,171,70.48,-7.55,27.35,0,0,0,0,0,0,0,OFF,0,0,0
1650,55,GELAP,OFF,TIDAK ADA,61.25,62.94,171,70.54,-7.59,27.5,0,0,0,0,0,0,0,OFF,0,0,0
1680,56,GELAP,OFF,TIDAK ADA,61.25,62.76,172,70.72,-7.97,27.63,0,0,0,0,0,0,0,OFF,0,0,0
1710,57,GELAP,OFF,TIDAK ADA,61.39,62.99,168,70.47,-7.48,27.4,0,0,0,0,0,0,0,OFF,0,0,0
1740,58,GELAP,OFF,TIDAK ADA,61.15,62.29,166,70.38,-8.09,27.68,0,0,0,0,0,0,0,OFF,0,0,0
1770,59,GELAP,OFF,TIDAK ADA,61.17,62.49,166,70.26,-7.78,27.59,0,0,0,0,0,0,0,OFF,0,0,0
1800,60,GELAP,OFF,TIDAK ADA,61.15,62.79,167,70.37,-7.59,27.48,0,0,0,0,0,0,0,OFF,0,0,0
1830,61,GELAP,OFF,TIDAK ADA,61.15,62.63,167,70.56,-7.94,27.38,0,0,0,0,0,0,0,OFF,0,0,0
1860,62,GELAP,OFF,TIDAK ADA,61.16,62.71,167,70.49,-7.78,27.5,0,0,0,0,0,0,0,OFF,0,0,0
1890,63,GELAP,OFF,TIDAK ADA,61.09,62.64,167,70.47,-7.83,27.54,0,0,0,0,0,0,0,OFF,0,0,0
1920,64,GELAP,OFF,TIDAK ADA,61.15,62.54,166,70.42,-7.88,27.56,0,0,0,0,0,0,0,OFF,0,0,0
1950,65,GELAP,OFF,TIDAK ADA,61.16,62.81,166,70.53,-7.72,27.41,0,0,0,0,0,0,0,OFF,0,0,0
1980,66,GELAP,OFF,TIDAK ADA,61.15,62.81,166,70.58,-7.77,27.6,0,0,0,0,0,0,0,OFF,0,0,0
2010,67,GELAP,OFF,TIDAK ADA,61.12,62.76,167,70.67,-7.91,27.38,0,0,0,0,0,0,0,OFF,0,0,0
2040,68,GELAP,OFF,TIDAK ADA,60.98,62.08,164,70.1,-8.03,28.25,0,0,0,0,0,0,0,OFF,0,0,0
2070,69,GELAP,OFF,TIDAK ADA,61.03,62.2,165,70.13,-7.93,28.35,0,0,0,0,0,0,0,OFF,0,0,0
2100,70,GELAP,OFF,TIDAK ADA,60.98,62.22,165,70.15,-7.94,28.07,0,0,0,0,0,0,0,OFF,0,0,0
2130,71,GELAP,OFF,TIDAK ADA,60.98,62.11,165,70.21,-8.1,27.91,0,0,0,0,0,0,0,OFF,0,0,0
2160,72,GELAP,OFF,TIDAK ADA,61.03,62.25,165,70.06,-7.81,28.25,0,0,0,0,0,0,0,OFF,0,0,0
2190,73,GELAP,OFF,TIDAK ADA,61.04,61.96,165,70.11,-8.15,28.1,0,0,0,0,0,0,0,OFF,0,0,0
2220,74,GELAP,OFF,TIDAK ADA,60.98,62.37,165,70.11,-7.75,27.78,0,0,0,0,0,0,0,OFF,0,0,0
2250,75,GELAP,OFF,TIDAK ADA,61.02,62.52,163,70.27,-7.75,28.14,0,0,0,0,0,0,0,OFF,0,0,0
2280,76,GELAP,OFF,TIDAK ADA,61.03,62.25,166,70.04,-7.79,28.49,0,0,0,0,0,0,0,OFF,0,0,0
2310,77,GELAP,OFF,TIDAK ADA,61.04,62.36,163,70.23,-7.87,28.04,0,0,0,0,0,0,0,OFF,0,0,0
2340,78,GELAP,OFF,TIDAK ADA,61.18,62.29,186,70.41,-8.12,27.42,0,0,0,0,0,0,0,OFF,0,0,0
2370,79,GELAP,OFF,TIDAK ADA,61.24,62.53,174,70.53,-8,27.08,0,0,0,0,0,0,0,OFF,0,0,0
