frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
1,0,TERANG,144,203.18,247,119.68,83.5,16.47,1,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
30,1,TERANG,143.83,204.41,246,119.77,84.63,14.85,1,0,1,0,0,0,0.8,IDLE,0,6,0,IDLE,TIDAK ADA
60,2,TERANG,143.96,204,246,119.8,84.2,15.46,1,0,1,0,0,0,0.01,IDLE,0,6,0,IDLE,TIDAK ADA
90,3,TERANG,143.89,203.88,247,119.81,84.07,15.93,1,0,1,0,0,0,10.06,IDLE,0,6,0,IDLE,TIDAK ADA
120,4,TERANG,143.71,202.23,248,115.07,87.16,14.93,1,0,1,0,0,0,46.85,IDLE,0,6,0,IDLE,TIDAK ADA
150,5,TERANG,143.9,203.8,247,119.31,84.5,15.43,1,0,1,0,0,0,334.79,ON,3,0,12,ON,TIDAK ADA
180,6,TERANG,143.94,203.76,245,119.75,84.01,15.7,1,0,1,0,0,0,30.67,IDLE,0,6,0,IDLE,TIDAK ADA
210,7,TERANG,144,203.55,247,119.87,83.69,16.28,1,0,1,0,0,0,204.59,IDLE,2,0,0,IDLE,TIDAK ADA
240,8,TERANG,144.56,204.21,249,120.29,83.91,16.79,1,0,1,0,0,0,246.86,ON,3,0,30,ON,ADA
270,9,TERANG,144.53,204.69,250,120.42,84.27,17.03,1,0,1,0,0,0,78.72,ON,0,4,60,ON,TIDAK ADA
300,10,TERANG,144.52,204.62,248,120.54,84.07,16.65,1,0,1,0,0,0,25.94,IDLE,0,6,0,IDLE,TIDAK ADA
330,11,TERANG,144.54,204.7,249,120.36,84.34,16.32,1,0,1,0,0,0,38.78,IDLE,0,6,0,IDLE,TIDAK ADA
360,12,TERANG,144.53,204.34,249,120.37,83.97,16.81,1,0,1,0,0,0,44.16,IDLE,0,6,0,IDLE,TIDAK ADA
390,13,TERANG,144.54,204.39,250,120.47,83.92,17.17,1,0,1,0,0,0,46.12,IDLE,0,6,0,IDLE,TIDAK ADA
420,14,TERANG,144.56,204.49,247,120.65,83.84,15.91,1,0,1,0,0,0,18.24,IDLE,0,6,0,IDLE,TIDAK ADA
450,15,TERANG,144.56,204.46,249,120.34,84.12,16.94,1,0,1,0,0,0,1.77,IDLE,0,6,0,IDLE,TIDAK ADA
480,16,TERANG,144.55,204.56,249,120.47,84.09,16.28,1,0,1,0,0,0,30.85,IDLE,0,6,0,IDLE,TIDAK ADA
510,17,TERANG,144.78,203.63,244,120.26,83.37,16.33,1,0,1,0,0,0,5.86,IDLE,0,6,0,IDLE,TIDAK ADA
540,18,TERANG,144.73,203.65,244,120.38,83.26,16.29,1,0,1,0,0,0,40.39,IDLE,0,6,0,IDLE,TIDAK ADA
570,19,TERANG,144.78,204.12,241,120.39,83.73,15.2,1,0,1,0,0,0,13.25,IDLE,0,6,0,IDLE,TIDAK ADA
600,20,TERANG,144.78,203.96,244,120.42,83.53,15.72,1,0,1,0,0,0,65.03,IDLE,0,6,0,IDLE,TIDAK ADA
630,21,TERANG,144.76,203.9,243,120.37,83.53,15.86,1,0,1,0,0,0,15.55,IDLE,0,6,0,IDLE,TIDAK ADA
660,22,TERANG,144.77,204.01,244,120.4,83.61,16.06,1,0,1,0,0,0,3.81,IDLE,0,6,0,IDLE,TIDAK ADA
690,23,TERANG,144.73,203.87,242,120.41,83.46,16.24,1,0,1,0,0,0,4.74,IDLE,0,6,0,IDLE,TIDAK ADA
720,24,TERANG,144.76,203.58,244,120.28,83.3,15.99,1,0,1,0,0,0,17.24,IDLE,0,6,0,IDLE,TIDAK ADA
750,25,TERANG,144.7,203.87,243,120.6,83.26,15.84,1,0,1,0,0,0,0.08,IDLE,0,6,0,IDLE,TIDAK ADA
780,26,TERANG,144.69,203.89,243,120.48,83.41,16.14,1,0,1,0,0,0,54.29,IDLE,0,6,0,IDLE,TIDAK ADA
810,27,TERANG,144.48,203.21,247,119.58,83.63,16.23,1,0,1,0,0,0,189.94,ON,3,0,26,ON,ADA
840,28,TERANG,144.45,203.04,247,119.09,83.95,16.06,1,0,1,0,0,0,109.18,IDLE,0,6,0,IDLE,TIDAK ADA
870,29,TERANG,144.48,203.48,247,119.66,83.82,15.92,1,0,1,0,0,0,141.68,IDLE,2,0,0,IDLE,TIDAK ADA
900,30,TERANG,144.41,203.81,248,119.77,84.05,15.64,1,0,1,0,0,0,141.97,ON,3,0,30,ON,ADA
930,31,TERANG,144.74,203.53,246,119.64,83.89,15.82,1,0,1,0,0,0,10.2,IDLE,0,6,0,IDLE,TIDAK ADA
960,32,TERANG,144.69,203.31,248,119.77,83.54,16.24,1,0,1,0,0,0,0.99,IDLE,0,6,0,IDLE,TIDAK ADA
990,33,TERANG,144.68,203.72,246,119.78,83.94,16.07,1,0,1,0,0,0,109.88,IDLE,0,6,0,IDLE,TIDAK ADA
1020,34,TERANG,144.68,203.58,247,119.72,83.86,15.61,1,0,1,0,0,0,162.59,ON,3,0,4,ON,TIDAK ADA
1050,35,TERANG,144.64,203.49,247,119.71,83.79,16.18,1,0,1,0,0,0,11.67,IDLE,0,6,0,IDLE,TIDAK ADA
1080,36,TERANG,144.67,203.66,247,119.74,83.91,15.86,1,0,1,0,0,0,19.67,IDLE,0,6,0,IDLE,TIDAK ADA
1110,37,TERANG,144.68,203.44,244,119.76,83.68,16.04,1,0,1,0,0,0,7,IDLE,0,6,0,IDLE,TIDAK ADA
1140,38,TERANG,144.68,203.63,247,119.93,83.7,16.05,1,0,1,0,0,0,25.64,IDLE,0,6,0,IDLE,TIDAK ADA
1170,39,TERANG,144.68,203.69,248,119.8,83.89,15.74,1,0,1,0,0,0,3.5,IDLE,0,6,0,IDLE,TIDAK ADA
1200,40,TERANG,144.67,203.47,247,119.82,83.65,15.79,1,0,1,0,0,0,72.25,IDLE,0,2,0,IDLE,TIDAK ADA
1230,41,TERANG,144.85,203.72,250,120.36,83.36,15.85,1,0,1,0,0,0,3.73,IDLE,0,6,0,IDLE,TIDAK ADA
1260,42,TERANG,144.84,203.74,249,120.45,83.29,16.04,1,0,1,0,0,0,0.06,IDLE,0,6,0,IDLE,TIDAK ADA
1290,43,TERANG,144.84,203.63,249,120.41,83.23,16.53,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
1320,44,TERANG,144.83,204.02,249,120.29,83.73,16.15,1,0,1,0,0,0,0.1,IDLE,0,6,0,IDLE,TIDAK ADA
1350,45,TERANG,144.69,203.54,249,120.33,83.22,16.46,1,0,1,0,0,0,16.05,IDLE,0,6,0,IDLE,TIDAK ADA
1380,46,TERANG,144.67,203.79,249,120.51,83.27,15.92,1,0,1,0,0,0,2.19,IDLE,0,6,0,IDLE,TIDAK ADA
1410,47,TERANG,144.63,205.04,248,122.16,82.88,16.59,1,0,1,0,0,0,14.18,IDLE,0,6,0,IDLE,TIDAK ADA
1440,48,TERANG,144.7,203.72,248,120.43,83.29,16.03,1,0,1,0,0,0,79.58,ON,0,1,5,ON,ADA
1470,49,TERANG,144.82,203.28,249,120.26,83.03,16.39,1,0,1,0,0,0,8.39,IDLE,0,6,0,IDLE,TIDAK ADA
1500,50,TERANG,144.82,203.91,249,120.34,83.57,15.67,1,0,1,0,0,0,4.03,IDLE,0,6,0,IDLE,TIDAK ADA
1530,51,TERANG,145.1,203.7,248,120.18,83.52,16.94,1,0,1,0,0,0,1.66,IDLE,0,6,0,IDLE,TIDAK ADA
1560,52,TERANG,145.02,203.34,248,120.11,83.22,16.94,1,0,1,0,0,0,4.49,IDLE,0,6,0,IDLE,TIDAK ADA
1590,53,TERANG,145.08,203.66,248,120.08,83.58,16.9,1,0,1,0,0,0,14.68,IDLE,0,6,0,IDLE,TIDAK ADA
1620,54,TERANG,145.06,203.83,247,120.25,83.58,16.67,1,0,1,0,0,0,14.02,IDLE,0,6,0,IDLE,TIDAK ADA
1650,55,TERANG,145.05,203.82,248,120.26,83.56,16.95,1,0,1,0,0,0,1.11,IDLE,0,6,0,IDLE,TIDAK ADA
1680,56,TERANG,145.1,203.7,245,120.28,83.42,15.7,1,0,1,0,0,0,0.16,IDLE,0,6,0,IDLE,TIDAK ADA
1710,57,TERANG,145.09,203.46,248,120.34,83.13,16.95,1,0,1,0,0,0,0.21,IDLE,0,6,0,IDLE,TIDAK ADA
1740,58,TERANG,145.11,203.56,248,120.21,83.35,16.77,1,0,1,0,0,0,0.21,IDLE,0,6,0,IDLE,TIDAK ADA
1770,59,TERANG,145.1,203.53,248,120.18,83.35,16.82,1,0,1,0,0,0,3.35,IDLE,0,6,0,IDLE,TIDAK ADA
1800,60,TERANG,145.06,203.76,247,120.22,83.54,16.7,1,0,1,0,0,0,6.32,IDLE,0,6,0,IDLE,TIDAK ADA
1830,61,TERANG,145.05,203.76,248,120.22,83.54,15.73,1,0,1,0,0,0,2.01,IDLE,0,6,0,IDLE,TIDAK ADA
1860,62,TERANG,145.06,204.16,245,120.31,83.85,15.48,1,0,1,0,0,0,21.22,IDLE,0,6,0,IDLE,TIDAK ADA
1890,63,TERANG,145.04,204.11,248,120.31,83.8,15.52,1,0,1,0,0,0,16.88,IDLE,0,6,0,IDLE,TIDAK ADA
1920,64,TERANG,145.04,203.68,247,120.22,83.46,15.76,1,0,1,0,0,0,9.04,IDLE,0,6,0,IDLE,TIDAK ADA
1950,65,TERANG,145.08,203.94,246,120.09,83.85,15.53,1,0,1,0,0,0,11.9,IDLE,0,6,0,IDLE,TIDAK ADA
1980,66,TERANG,145.06,204.09,248,120.2,83.89,15.01,1,0,1,0,0,0,30.36,IDLE,0,6,0,IDLE,TIDAK ADA
2010,67,TERANG,145.04,204.12,245,120.45,83.66,15.36,1,0,1,0,0,0,1.93,IDLE,0,6,0,IDLE,TIDAK ADA
2040,68,TERANG,145.06,204.12,245,120.43,83.69,15.38,1,0,1,0,0,0,10.47,IDLE,0,6,0,IDLE,TIDAK ADA
2070,69,TERANG,145.03,204.02,247,120.33,83.69,15.27,1,0,1,0,0,0,0.28,IDLE,0,6,0,IDLE,TIDAK ADA
2100,70,TERANG,145.03,203.91,244,120.27,83.64,15.54,1,0,1,0,0,0,0.5,IDLE,0,6,0,IDLE,TIDAK ADA
2130,71,TERANG,145.09,204.44,247,120.49,83.95,16.26,1,0,1,0,0,0,21.3,IDLE,0,6,0,IDLE,TIDAK ADA
2160,72,TERANG,145.07,204.22,248,120.55,83.68,17.69,1,0,1,0,0,0,6.91,IDLE,0,6,0,IDLE,TIDAK ADA
2190,73,TERANG,145.13,204.23,248,120.61,83.62,16.58,1,0,1,0,0,0,13.54,IDLE,0,6,0,IDLE,TIDAK ADA
2220,74,TERANG,145.15,204.52,248,120.52,84,16.49,1,0,1,0,0,0,9.83,IDLE,0,6,0,IDLE,TIDAK ADA
2250,75,TERANG,145.15,204.32,248,120.73,83.59,16.52,1,0,1,0,0,0,39.27,IDLE,0,6,0,IDLE,TIDAK ADA
2280,76,TERANG,145.13,204.51,248,120.65,83.86,16.05,1,0,1,0,0,0,24.77,IDLE,0,6,0,IDLE,TIDAK ADA
2310,77,TERANG,145.36,204.55,248,120.67,83.88,16.53,1,0,1,0,0,0,184.03,ON,2,0,20,ON,ADA
2340,78,TERANG,145.51,204.49,248,120.84,83.66,16.34,1,0,1,0,0,0,142.71,IDLE,1,0,0,IDLE,TIDAK ADA
2370,79,TERANG,145.11,204.14,248,120.59,83.55,16.89,1,0,1,0,0,0,354.98,ON,3,0,29,ON,ADA
2400,80,TERANG,145.14,204.34,248,120.59,83.75,17.33,1,0,1,0,0,0,214.01,ON,3,0,59,ON,TIDAK ADA
2430,81,TERANG,145.18,202.21,247,116.7,85.51,15.75,1,0,1,0,0,0,165.07,ON,2,0,89,ON,TIDAK ADA
2460,82,TERANG,144.74,199.81,247,113.59,86.22,15.36,1,0,1,0,0,0,26.57,IDLE,0,6,0,IDLE,TIDAK ADA
2490,83,TERANG,144.4,201.4,251,113.64,87.76,15.84,1,0,1,0,0,0,6.92,IDLE,0,6,0,IDLE,TIDAK ADA
2520,84,TERANG,143.93,202.4,248,115.93,86.46,15.91,1,0,1,0,0,0,57.65,IDLE,0,6,0,IDLE,TIDAK ADA
2550,85,TERANG,143.81,201.99,247,115.88,86.1,15.94,1,0,1,0,0,0,104.33,IDLE,0,1,0,IDLE,TIDAK ADA
2580,86,TERANG,143.88,203.98,246,115.49,88.5,15.24,1,0,1,0,0,0,28.5,IDLE,0,6,0,IDLE,TIDAK ADA
2610,87,TERANG,143.17,202.38,246,117.5,84.88,15.48,1,0,1,0,0,0,31.74,IDLE,0,6,0,IDLE,TIDAK ADA
2640,88,TERANG,143,202.3,247,117.43,84.87,15.94,1,0,1,0,0,0,37.43,IDLE,0,6,0,IDLE,TIDAK ADA
2670,89,TERANG,143.05,202.14,249,117.23,84.91,16.3,1,0,1,0,0,0,109.43,IDLE,0,6,0,IDLE,TIDAK ADA
2700,90,TERANG,143.37,202.46,247,117.6,84.86,15.74,1,0,1,0,0,0,3.14,IDLE,0,6,0,IDLE,TIDAK ADA
2730,91,TERANG,143.38,202.98,245,118.65,84.33,15.62,1,0,1,0,0,0,0.13,IDLE,0,6,0,IDLE,TIDAK ADA
2760,92,TERANG,143.36,203.28,245,118.91,84.38,15.2,1,0,1,0,0,0,4.16,IDLE,0,6,0,IDLE,TIDAK ADA
2790,93,TERANG,143.43,203.23,244,118.73,84.5,15.24,1,0,1,0,0,0,0.01,IDLE,0,6,0,IDLE,TIDAK ADA
2820,94,TERANG,143.42,203.25,246,118.88,84.37,15.75,1,0,1,0,0,0,1.16,IDLE,0,6,0,IDLE,TIDAK ADA
2850,95,TERANG,143.9,204.03,248,119.51,84.52,15.76,1,0,1,0,0,0,2,IDLE,0,6,0,IDLE,TIDAK ADA
2880,96,TERANG,143.87,204.47,248,119.64,84.83,15.62,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
2910,97,TERANG,143.86,204.56,248,119.71,84.85,15.74,1,0,1,0,0,0,2.25,IDLE,0,6,0,IDLE,TIDAK ADA
2940,98,TERANG,143.86,204.31,248,119.63,84.68,15.43,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
2970,99,TERANG,143.86,204.49,248,119.57,84.92,15.95,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
3000,100,TERANG,143.86,204.19,249,119.7,84.49,15.54,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
3030,101,TERANG,143.87,204.45,248,119.61,84.85,15.57,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
