frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
1,0,TERANG,146.33,150.21,253,162.47,-12.26,41.41,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
30,1,TERANG,146.33,150.46,253,162.6,-12.14,41.51,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
60,2,TERANG,146.33,150.44,249,162.55,-12.11,41.31,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
90,3,TERANG,146.82,149.8,251,162.42,-12.63,41.93,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
120,4,TERANG,146.81,149.64,249,162.5,-12.86,42.17,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
150,5,TERANG,146.73,149.59,251,162.53,-12.94,41.93,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
180,6,TERANG,146.81,150,251,162.51,-12.51,41.44,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
210,7,TERANG,146.81,150.9,254,162.78,-11.89,41.75,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
240,8,TERANG,146.76,150.19,250,162.62,-12.43,41.61,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
270,9,TERANG,146.76,150.56,253,162.78,-12.22,41.89,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
300,10,TERANG,146.69,150.4,253,162.57,-12.17,42.23,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
330,11,TERANG,146.74,150.24,251,162.55,-12.31,42.26,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
360,12,TERANG,146.75,150.48,249,162.76,-12.28,42.07,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
390,13,TERANG,146.54,150.81,254,162.31,-11.5,41.28,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
420,14,TERANG,146.54,150.69,254,162.62,-11.93,41.07,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
450,15,TERANG,146.5,151.05,254,162.56,-11.51,41.44,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
480,16,TERANG,146.53,150.63,254,162.41,-11.78,41.97,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
510,17,TERANG,146.55,151.2,254,162.62,-11.43,41.21,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
540,18,TERANG,146.53,151.33,254,162.53,-11.2,41.1,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
570,19,TERANG,146.53,150.96,254,162.59,-11.64,41.46,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
600,20,TERANG,146.5,151.02,254,162.63,-11.6,41.47,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
630,21,TERANG,146.55,151.22,254,162.58,-11.35,41.17,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
660,22,TERANG,146.55,150.75,254,162.68,-11.93,40.91,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
690,23,TERANG,146.71,150.27,254,162.7,-12.43,40.86,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
720,24,TERANG,146.67,150.45,254,162.92,-12.46,41.73,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
750,25,TERANG,146.68,150.69,254,162.96,-12.27,40.65,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
