frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
1,0,TERANG,148.38,213.53,252,125.81,87.72,15.91,1,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
30,1,TERANG,148.21,213.53,253,125.89,87.63,16.03,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
60,2,TERANG,148.17,213.51,252,125.94,87.57,16.02,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
90,3,TERANG,148.2,213.74,252,126.03,87.71,15.6,1,0,1,0,0,0,4.71,IDLE,0,6,0,IDLE,TIDAK ADA
120,4,TERANG,148.14,213.66,252,126.1,87.56,15.57,1,0,1,0,0,0,1.32,IDLE,0,6,0,IDLE,TIDAK ADA
150,5,TERANG,148.1,213.53,252,125.87,87.65,16.01,1,0,1,0,0,0,0.02,IDLE,0,6,0,IDLE,TIDAK ADA
180,6,TERANG,148.15,213.48,251,125.81,87.67,16.02,1,0,1,0,0,0,3.32,IDLE,0,6,0,IDLE,TIDAK ADA
210,7,TERANG,148.25,213.53,250,125.52,88.01,15.7,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
240,8,TERANG,148.17,213.56,250,125.49,88.08,15.76,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
270,9,TERANG,148.17,213.56,250,125.51,88.06,15.75,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
300,10,TERANG,148.17,213.55,250,125.54,88.01,15.73,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
330,11,TERANG,148.18,213.59,250,125.51,88.08,15.78,1,0,1,0,0,0,0.55,IDLE,0,6,0,IDLE,TIDAK ADA
360,12,TERANG,148.18,213.41,250,125.52,87.89,16.04,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
390,13,TERANG,148.17,213.53,250,125.51,88.02,15.74,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
420,14,TERANG,148.18,213.76,249,125.49,88.27,15.22,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
450,15,TERANG,148.23,213.57,250,125.52,88.05,15.76,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
480,16,TERANG,148.18,213.26,249,125.48,87.78,16.7,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
510,17,TERANG,148.29,214.04,251,125.59,88.46,16.76,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
540,18,TERANG,148.17,213.88,251,125.57,88.31,16.7,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
570,19,TERANG,148.14,213.92,251,125.61,88.31,16.78,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
600,20,TERANG,148.14,213.88,251,125.66,88.22,16.77,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
630,21,TERANG,148.14,213.85,250,125.44,88.41,16.76,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
660,22,TERANG,148.14,213.82,250,125.71,88.1,16.75,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
690,23,TERANG,148.13,213.81,250,125.56,88.26,16.72,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
720,24,TERANG,148.13,213.91,250,125.63,88.28,16.75,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
750,25,TERANG,148.16,213.88,250,125.52,88.37,16.75,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
780,26,TERANG,148.14,213.88,250,125.56,88.32,16.78,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
810,27,TERANG,148.14,213.88,250,125.64,88.24,16.74,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
840,28,TERANG,148.23,213.54,252,125.86,87.68,15.82,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
870,29,TERANG,148.2,213.54,252,125.77,87.77,15.81,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
900,30,TERANG,148.2,213.54,252,125.8,87.74,15.83,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
930,31,TERANG,148.22,213.56,251,125.92,87.64,15.83,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
960,32,TERANG,148.22,213.68,251,125.79,87.89,15.68,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
990,33,TERANG,148.19,213.52,251,125.76,87.76,15.67,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
1020,34,TERANG,148.23,213.61,251,125.96,87.66,15.78,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
1050,35,TERANG,148.15,213.62,251,125.91,87.71,15.82,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
